id,channel name,type of channel,likes and follows,page creation date,description
71505861920,"CAN-AM OFF-ROAD
",Motor Vehicle Company,"1,885,996 people like this 1,893,298 people follow this",Confirmed Page Owner: Bombardier Produits Récréatifs Inc.,"OFF-ROAD LIVIN' BRP, the maker of Can-Am off-road vehicles, is a worldwide leader in outdoor recreational power sports. J.A. Bombardier founded the company in 1942 No two riders require the same thing. We make ATVs with specifications that match each rider's demands. Find out all about which Can-Am ATV best fits you.    See  House Rules:     To ensure a healthy and cooperative community environment, we ask that community members abide by the following rules, choosing not to do so will In addition to Can-Am all-terrain and side-by-side vehicles, BRP gives power-sport fans all kinds of exciting ways to experience the open air on land, water and more:    Website:   YouTube:   Twitter:   result in disregarding, deleting, banning, or reporting the user and comment    1.Conversation must be relevant to Can-Am and not include spam, solicitation, religious or political content   2.Conversation must be respectful of fellow community members, including the Can-Am brand, and must not be abusive, threatening, discriminatory or prejudicial   3.Conversation must not include profanity   4.Community members agree not to share private information, this may include email, mailing address or phone numbers on the public wall  5. Images posted by Community Members can be used by BRP for social media purposes (including Facebook and Twitter)  snow. Including Ski-Doo® snowmobiles, Sea-Doo® personal watercraft and boats, Evinrude® and Johnson® outboard engines, and Can-Am Spyder® roadsters."
464613380375358,"Buddha Power
",Community,"241,537 people like this 249,994 people follow this","Page created - June 25, 2015",Join us for inspiring and life-changing thoughts from Buddha.
34888716653,"Vrbo
",Travel Company,"5,749,777 people like this 5,728,170 people follow this",Confirmed Page Owner: HOMEAWAY UK LTD,"Vrbo helps families travel better together. With unique homes all over the world, we make it easy to find the perfect place for your next trip together. 1995 Vacation Rental Homes, Condos, Villas, Apartments, Beach Houses This page is intended to provide information about  , the travel and vacation rental industries, as well as engage in conversation with those who want to In 1995, Vrbo introduced a new way for people to travel together, pairing homeowners with families and friends looking for places to stay. We were grounded in o  share their experiences with our brands. Listed below are a few guidelines we’ll follow to maintain a thoughtful and respectful environment.    COMMUNITY GUIDELINES:  We abide by the Facebook Statement of Rights and Responsibilities and related Facebook policies, and we expect visitors to our page to do the same.    We encourage open, lively conversation with a few simple rules:  --We reserve the right to address factual errors.  --We will reply to comments when appropriate.  --If we disagree with other opinions, we will do so respectfully.  --You may not post anything that is spam or that is abusive, profane, or defamatory toward a person, entity, belief, or symbol.  --All posts must be in English.  --While we support lively, open discussion, we reserve the right to delete comments at our discretion.  --We also reserve the right to delete links to websites that are not HomeAway, Inc. brands.    We look forward to the conversation. ne purpose: To give people the space they need to drop the distractions of everyday life and simply be together. Since then, we've grown into a global community of homeowners and travelers, with unique properties in 190 countries around the world. Vrbo makes it easy and fun to book cabins, condos, beach houses and every kind of space in between.    Vrbo is part of HomeAway and the Expedia Group family of brands and offers homeowners and property managers exposure to over 750 million visits to Expedia Group sites each month. To learn more, visit     Vrbo is dedicated to making the travel space open and welcoming across cultures and identities to individuals and families everywhere. You can find our inclusion statement here, as well as what actions we are taking to deepen our commitment to diversity and inclusion in the travel space: "
115605765132094,"PlayStation Europe
",Video Game,"6,049,543 people like this 6,030,292 people follow this","Page created - April 16, 2010","Welcome to the official PlayStation Europe Facebook page, where you can find news on the latest games, exclusive videos and behind the scenes extras.  Our content is dedicated to Europe, Africa, India, the Middle East and Oceania. In need of help or support? Visit:     For the latest PlayStation job listings, visit:  Please note our Comment Policy:    We want to hear from you and encourage your comments, critiques, thoughts, ideas and suggestions.     We ask that you stay on topic, respect other people’s opinions, avoid profanity, offensive or defamatory statements and illegal content.  The opinions expressed here are those of community members and not those of Sony Interactive Entertainment Europe Limited (SIEE), our affiliated companies, licensors or partners. Please understand that we reserve the right to edit or delete comments for any reason we deem appropriate. If, despite that, you see anything you think is inappropriate you can tell Facebook using the ""Flag"" option they provide.      Any information or content which we make available via this Page is for your personal use only. All intellectual property rights in such information and content belong to SIEE or our licensors.  Anything which you submit to the Page belongs to you, but can be used, reproduced, modified, disclosed, transmitted, published, broadcast and/or posted elsewhere, in whole or in part, either by us or by other users. We can also use any ideas, concepts or techniques that you disclose, including anything relating to the development, manufacturing and marketing of our products, without payment to you. We reserve the right to take down the Page at any time without notice.    This Policy may change from time to time so please check back for changes. By using this Page you accept and agree to comply with this Policy and the Facebook Statement of Rights and Responsibilities."
148518475178805,"FitLifeTV
",Health & Wellness Website,"116,085 people like this 116,993 people follow this","Page created - September 6, 2010","You Deserve Incredible Nutrition A place for motivation and inspiration... 2010 First time here? Visit     Fitlife.tv (or) add me @  Company Overview  Drew Canole saw life being squandered. He witnessed it every day. His mirror provided a daily reminder of his poor eating habits, his lack of s Our Purpose is to Unite the World Through Health and Happiness...    Give us a call @ 1-877-253-9249 for a free transformational consultation leep, and his failure to stay physically fit. There was, he recalls cleary, a day of enlightenment that impacted his own life, a day when he committed himself to improving his physical, mental and spiritual self.     As (if not more) important was Drew’s ""second"" day of enlightenment, when he committed to helping others make the same improvement in their lives. That was the day that FitLife.tv was born.    From the life-enriching value of a healthy diet to the importance of finding spiritual balance, FitLife.tv is so much more than what its name might imply. Yes, Drew uses the site as a portal to improve his readers’ physical well-being. We encourage you to visit the site and watch targeted, instructional videos. But FitLife.tv also delivers the goods on how, for example, a diet rich in vegetables can positively impact every aspect of one’s life. Blog posts direct readers to health-centered news of the day, including articles that detail the fallacy behind many prescription ""wonder"" drugs, and tips on simple ways to brighten your day, your mood, your existence.    Loaded with videos, recipes, workout manuals and fitness tips (many of which are geared toward people residing in Drew’s hometown of San Diego), FitLife.tv is an all-inclusive resource for anyone hoping to improve their heath, whether physical, mental, spiritual or otherwise. The site shares his personal goal of improving the world by improving the people in it, and is perhaps summed up most succinctly in the company’s powerful three-word slogan: Think. Feel. Become.    Welcome to FitLife.tv.    Check out this link for our New Cacao bliss:     For 11 of the best superfoods all in one Green drink:   For our Turmeric & Reishi Infused Organifi Gold:   For our Acai and Cordyceps Infused Red Juice:   For the Best Plant Based Protein: "
1618980005093976,"Gundry MD
",Health/Beauty,"262,865 people like this 302,351 people follow this","Page created - May 2, 2016","Welcome to Gundry MD, where every product is designed by Dr. Steven Gundry with the purpose of restoring your body to optimum health and wellness! Gundry MD - About the Founder     Dr. Steven Gundry is a cardiologist, heart surgeon, medical researcher, and author. His mission is to improve health, happiness,  and longevity through a unique vision of human nutrition. During his 40-year career in medicine, Dr. Gundry performed countless infant and pediatric heart transplants and developed patented, life-saving medical technology. In 2008, his best-selling book, “Dr. Gundry’s Diet Evolution,” focused on diet and nutrition as a way to help people avoid surgery. Gundry MD was founded to help bring this vision to the world."
263052247706753,"Stadia
",Video Game,"67,981 people like this 73,479 people follow this",Confirmed Page Owner: Google Inc.,Play for everyone. Try Stadia for free today and start playing games on screens you already own.    
152123811486349,"Google Small Business
",Product/Service,"Send Message 104,335 people like this",Confirmed Page Owner: Google Inc.,"We provide small business owners with tips, tools and resources to grow their businesses online. #GrowWithGoogle Every business, including ours, starts small. These days, technology is giving businesses even more ways to grow bigger... faster.    This page is a central hub t Official Google and Your Business blog:     Claim your business listing on Google Places:  hat brings together all the information about our products, features and projects of specific interest to the small business community.    Run your business on Google Apps:     Advertise online with Google AdWords: "
9465008123,"amazon
",Retail Company,"29,539,812 people like this 28,867,995 people follow this",Confirmed Page Owner: Amazon Services LLC,"Our vision is to be Earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online. Official Facebook page of  Online shopping from the earth's biggest selection of books, magazines, music, DVDs, videos, electronics, computers, software, apparel & accessories, shoes, jewelry, tools & hardware, housewares, furniture, sporting goods, beauty & personal care, gourmet food & just about anything else. 1995 Amazon has dozens of product lines. See   for a complete list."
153080620724,"Donald J Trump
","Political Candidate,Politician","29,084,105 people like this 31,010,558 people follow this","Confirmed Page Owner: DONALD J. TRUMP FOR PRESIDENT, INC.",This is the official Facebook page for Donald J. Trump Male
286471728036410,"Adobe Creative Cloud
",Product/Service,"1,286,418 people like this 1,318,659 people follow this",Confirmed Page Owner: Adobe Systems Inc.,"All-new apps. More connected tools & services. Your creative community just a click away. Available now in Creative Cloud. Join:  Adobe is the global leader in digital marketing and digital media solutions. Our tools and services allow our customers to create groundbreaking digital content All the tools you love. Totally re-imagined.  Your favorite tools are about to get even better. Introducing Creative Cloud™ desktop applications, including Adobe Terms of Engagement  We've enabled Direct Messaging on our Facebook Page so if you have a question, please send directly for a quicker response.   Everything you need to create.  All-new desktop versions of your favorite creative tools and services, check. Immediate access to new features and updates, check , deploy it across media and devices, measure and optimize it over time, and achieve greater business success. We help our customers make, manage, measure, and monetize their content across every channel and screen. ® Photoshop® CC and Illustrator® CC. They're the next generation of CS tools. Get hundreds of all-new features. New ways to keep your creative world in sync — feature updates, settings, and feedback from team members. And, as always, your applications live on your desktop, not in a browser and not in the cloud.  To help us maintain meaningful and constructive discussions on our Facebook page, we ask that you follow the guidelines below. If a comment violates any of the guidelines below, we reserve the right to delete it.  If a member of the Facebook page violates any of the guidelines below, we reserve the right to ban the member from following and commenting on the Adobe Creative Cloud Facebook page.     Be kind to your community  • Be relevant: Post comments that are on-topic.  Don't post spam and/or repeated comments irrelevant to the discussion that can be viewed as spam to our community members.  • Be respectful: Whether you are a tried and true customer, a newbie or even a discussion moderator -- we're all in this together. Don’t post comments that are offensive and contain foul language. Always show respect if you disagree with someone’s point of view. As in any community, mutual respect and cooperation are key elements to success. The community consists of people from different countries, cultures, and beliefs, with varying levels of expertise. Write comments in an unbiased and respectful manner. Personal insults, verbal attacks, and generally disrespectful, offensive, or abusive messages will be deleted by page moderators. Repeated violators will be banned from the page.    Do  •	Respect others.  •	Be relevant when posting comments  on discussion topics.  •	Encourage each other; recognize and praise good work.  •	Share your work with the community    Don't  •	Infringe copyright. Submit only original material that you create and own.  •	Use obscene or offensive language.  •	Personally attack people, or their comments.  •	Rant or otherwise harass, abuse, or intimidate others.  •	Post anything you don't want the world to see. This is a public space.  •	Post Spam, or repeated comments irrelevant to the discussion . And that's just the beginning. With Creative Cloud™, everything you need to create intuitively and collaboratively is included. "
112936925459222,"Noom
",App Page,"861,017 people like this 897,612 people follow this","Page created - May 5, 2011","We help people around the world enjoy healthier lives through better nutrition and exercise. Noom creates fun and easy-to-use mobile apps that provide intelligent nutrition and exercise coaching. 2008 Noom Coach, Noom Health, Noom Walk, Noom CardioTrainer Noom creates fun and easy-to-use mobile apps that provide intelligent nutrition and exercise coaching. Look to us for motivation, inspiration, and solid strateg Let's get social!    Noom Blog: ies for long-term health. We will help you lose weight, exercise, feel happy, and stay motivated -- all while having fun.    How has Noom change YOUR life? Email us at inspire@noom.com.    Let's get social!    Noom Blog:      Instagram:      Twitter:      Pinterest:       Intro to Noom Weight Loss Coach Video:       Get Support:         Instagram:      Twitter:      Pinterest:       Discover How Much Weight You Can Lose Today:      Get Support:   "
210499922552,"Special K
",Community,"Send Message 3,222,443 people like this",Page Owner: Kellogg Company,"Special K uses real ingredients to make really delicious food. We know you can’t fake the goodness of real fruit, nuts and whole grains - so we don’t. 1956 Special K uses real ingredients to make really delicious food. We know you can’t fake the goodness of real fruit, nuts and whole grains - so we don’t. Our missi Cereals  Protein Meal Bars  Cereal Bars on is to power real people with real food that tastes REALLY good.    Help make The Special K Facebook page a supportive environment.     Please don't post anything disrespectful, intolerant, threatening, abusive, vulgar, or hateful. Or anything copyrighted, trademarked or owned by anyone else. We cannot be responsible for any such posts, nor do any of the posts reflect the opinions of the Kellogg Company. We reserve the right to remove any unacceptable content from this page, or you as a fan, if need be.    Use the Report link to alert us to objectionable posts.     Any ideas or content you submit (including about products or advertising) become our property, which means:  •	We don’t have to treat any such submission as confidential.  •	You can’t sue us for using the ideas or images you submit.   •	If we use them we don’t have to pay you or anyone else for them.    For existing fans:  If you do not wish to ""like"" the official Special K page from Kellogg, please feel free to opt out of this page by clicking the “Unlike"" link.  Cracker Chips  Pastry Crisps  Protein Shakes  Flatbread Breakfast Sandwiches  Waffles  Popcorn Chips  Protein Snack Bars  Breakfast Shakes  Crackers  Brownie Bites  Protein Water Mixes  Protein Granola Bars    Connect with us on Twitter:   Watch our videos on YouTube: "
,"Piqray Alpelisib
",,English (US)  · ,,
,"Squarespace
",Product/Service,"355,180 people like this 370,585 people follow this",Confirmed Page Owner: SQUARESPACE,
1233731130062594,"Disney Plus
",Media/News Company,"Send Message 2,128,376 people like this",Confirmed Page Owner: Disney Interactive Media Group,Disney + Pixar + Marvel + Star Wars + Nat Geo = 🤯 Start Streaming Now and Sign Up at 
591844890918840,"Takis
",Nonprofit Organization,"481,759 people like this 665,533 people follow this","Page created - May 18, 2015","In this shelter in Ierapetra,Crete, Takis takes care of more than 350 stray dogs he rescued, help us to find a forever home for them by sharing our albums,and help us keep the shelter alive.Every donation is very important:  If you want to visit the shelter you must contact Takis via facebook message 2-3 days ahead. Thank you Takis was passing from the rubbish area of his hometown Ierapetra Greece and that changed his life. There he found a dog with a broken leg that he started to ta ke care. Soon he was taking care of 40 dogs in that area. People started threatening him so Takis bought a land and built Takis shelter in 2013. Soon Takis’ money run out and he had no help from local authorities or from the government. He created this facebook page in 2015 so that people can see his work and donate. Takis is running the shelter alone and the shelter is running 100% from donations. The shelter now hosts more than 350 dogs, 50 cats, 6 goats and 2 sheep. The monthly expenses of the shelter are around 8.000 euros.   The situation in Greece is very difficult concerning animals. The economic crisis caused a lot of people to abandon their dogs on the streets and because Greeks did not castrate their pets these dogs multiplied and now there are thousants of stray dogs and cats in Greece and thousants more are being born every day. Most of them wander the streets, malnurished in terrible condition and the government does nothing. So the burdain falls on Greek people to help. Many help but many look away and do not care. Takis has devoted his life into helping the animals in Greece and also helping people change their attitude towards them.  Takis shelter needs first and foremost people to adopt its dogs and cats. Takis wants to do responsible adoptions so that his dogs and cats never suffer again. For this reason he doesn’t ship animals. If you want to adopt an animal from Takis Shelter you will have to book a flight to Crete, visit the shelter, see the dogs and then choose and take the animal home with you.  If you cannot adopt you can donate. Even the smallest donation counts.  TO DONATE     Pay Pal   takisshelter33@gmail.com     BANK ACCOUNT : ALPHA BANK   IBAN GR43 0140 6620 6620 0233 0001 066   name : stegi prostasias adespoton zoon   BIC/SWIFT : CRBAGRAA  If you cannot donate, like and share our videos. Follow the link below to see all of Takis shelter’s platforms           Thank you for your support."
127659003942510,"Sony Music India
",Record Label,"2,475,904 people like this 2,482,206 people follow this","Page created - July 8, 2010","Sony Music India - Home To The Hits. Be the first to listen to chart-busters in the making, see premieres of blockbuster videos and get news and updates from your favorite movie and music stars...all on this page! 1st April 1997 SONY MUSIC ENTERTAINMENT is the leading  music company in the world & is the home to legendary artists like Elvis Presley, Michael Jackson, Santana,  Beyonce, B Follow Sony Music India on:    Twitter:  ritney Spears,  Ke$ha, Avril Lavigne, Shakira and many more. In India, SONY MUSIC ENTERTAINMENT boasts of several iconic Film soundtracks which include Karan Johar’s Dharma Productions (Student of the Year,Agneepath, My Name is Khan, I Hate Luv Storys, Wake Up Sid!, Kabhi Alvida Naa Kehna, Kabhie Khushie Kabhi Gham, Kuch Kuch Hota Hai, Kal Ho Naa Ho), UTV (7 Khoon Maaf, Raajneeti, Rang De Basanti), , Mani Ratnam (Raavanan, Guru), Aamir Khan Productions (Lagaan), Mahesh & Mukesh Bhatt’s Vishesh Films (Murder 3, Jannat 2, Blood Money, Crook, Raaz-The Mystery Continues, Jannat, Tum Mile), Aascar Films (Dhasavatharam, Vaaranam Aayiram), Sun Pictures (Singam, Aadukalam) and Indian Pop Superstars including Academy Award & Golden Globe Winner A R Rahman (Vande Mataram), Kailash Kher (Kailasa, Kailasa Jhoomo Re, Kailasa Chaandan Mein), Jagjit Singh--Gulzar (Marasim & Koi Baat Chale), Strings (Dhaani & Koi Aanay Wala Hai), Gurdas Maan (Boot Polishan). KK (Pal, Humsafar) and the Indian Idol series among many.    Youtube:     G+ : "
426040831503952,"Spin Master Spark Club
",Retail Company,Send Message 66 people like this,"Page created - January 7, 2019",
,"Wix.com
",Product/Service,"4,480,585 people like this 4,524,251 people follow this",Confirmed Page Owner: WIX.COM LTD,
